longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.69099724292755,-33.42692407458262,Government,2,,16,marker,general,Brigada de Homicidios Centro Norte PDI
-70.68584740161896,-33.420453326659334,Bridge,5,Bridge,15,bridge,landmark,
-70.69106563925743,-33.42737625896722,Government,3,,14,marker,general,Brigada de Investigación Criminal Quinta Normal-Cerro Navia
-70.68981036543846,-33.421170830007014,Parking,5,Car Parking,15,parking,motorist,
-70.69125205278397,-33.42773218462308,Place Of Worship,1,Church,15,religious-christian,religion,Iglesia Metodista Pentecostal Nuevo Remanente
-70.69153636693954,-33.42763033183289,Government,2,,16,marker,general,Registro Civil Quinta Normal
-70.69190114736557,-33.42330763402572,Convenience,4,Convenience Store,16,convenience,food_and_drink_stores,Mini Market
-70.69175630807877,-33.42279946224703,Retail,3,Retail Building,15,shop,store_like,Mall chino
-70.69238662719727,-33.42430829839207,School,5,School,16,school,education,Escuela Especial San Jorge de Quinta Normal
-70.69218009710312,-33.423290844256755,Alcohol,5,Liquor Store,16,alcohol-shop,food_and_drink_stores,Botilleria Baco
-70.68980902433395,-33.42064137803208,Stadium,1,Stadium,12,stadium,arts_and_entertainment,Estadio Esparta
-70.69260254502296,-33.42483548940909,School,2,School,16,school,education,Escuela Especial Diferencial Nuevo Amanecer
-70.69207146763802,-33.42294273564872,Veterinary,3,Veterinary Office,16,veterinary,commercial_services,Veterinaria Austral
-70.69243088364601,-33.42326286130127,Yes,5,Shop,16,marker,store_like,La Rosalinda
-70.69257840514183,-33.42324047493039,Paint,5,Shop,16,marker,store_like,Soquina
-70.57513520121574,-33.46674084436926,Company,1,,16,marker,general,Asociación Chilena de Seguridad
-70.57254016399384,-33.46972451932218,Notary,3,Notary Office,16,marker,commercial_services,Notaria Peñalolen
-70.57247444987297,-33.46973235035489,Convenience,2,Convenience Store,16,convenience,food_and_drink_stores,Dumbito
-70.57334616780281,-33.46582233957709,School,2,School,14,school,education,Colegio Polivalente York
-70.57236179709435,-33.469761437041576,Pharmacy,3,Pharmacy,16,pharmacy,medical,Farmacias SalcoBrand
-70.57357147336006,-33.465356930266566,School,3,School,16,school,education,Escuela Colegio York
-70.57232961058617,-33.47077722751495,School,1,School,12,school,education,Centro Educacional Mariano Egaña
-70.57099252939224,-33.46710779605964,School,1,School,12,school,education,Colegio Francisco de Miranda
-70.57221964001656,-33.47072464834432,University,3,University,16,college,education,Centro de Formación Técnica de la Región Metropolitana de Santiago
-70.57441100478172,-33.46472593865294,Motorcycle,2,Shop,16,marker,store_like,Kawasaki
-70.57140290737152,-33.47045615846503,Butcher,2,Butcher,16,marker,food_and_drink_stores,Carnes Grecia
-70.57055398821831,-33.47010376423609,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Pollo a las Brasas
-70.57276949286461,-33.46403452767454,Car,2,Car Dealership,16,car,store_like,Servicio desabolladura y pintura automotriz
-70.57281509041786,-33.463942786644864,Car Repair,1,Car Repair Shop,16,car-repair,commercial_services,Servicio desabolladura y pintura Automotriz
-70.65426707267761,-33.43956979849705,Government,5,,15,marker,general,Servicio Nacional de la Mujer y la Equidad de Género
-70.65454736351967,-33.43963806406497,Convenience,5,Convenience Store,16,convenience,food_and_drink_stores,Mercado Latinoaméricano
-70.65386071801186,-33.43953734435574,Courthouse,5,Courthouse,16,town-hall,public_facilities,Destacamento de Tribunales
-70.65413162112236,-33.43926540055679,Courthouse,5,Courthouse,16,town-hall,public_facilities,2° Tribunal Ambiental
-70.65425097942352,-33.440037584426534,Courthouse,5,Courthouse,16,town-hall,public_facilities,Tribunal Constitucional de Chile
