id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
2852473580,6500,104.0,74.0,62.0,12.0,2.0,2.0,1,1,1.0,3.0,Departamento,17.0,-33.426426,-70.538975,Las Condes,Avenida Padre Hurtado Sur,O,0,0,0,1
2864357398,13500,108.0,150.0,125.0,25.0,3.0,3.0,1,1,8.0,6.0,Departamento,3.0,-33.428827,-70.5636932,Las Condes,Carlos Alvarado,O,0,0,0,1
1562051721,26500,106.0,250.0,250.0,0.0,3.0,3.0,2,1,3.0,1.0,Departamento,11.0,-33.3822191,-70.5018922,Las Condes,Los Tuliperos Sur,N,1,0,0,0
2780586876,4500,107.0,46.0,42.0,4.0,1.0,1.0,1,1,25.0,17.0,Departamento,15.0,-33.4240972,-70.5887051,Las Condes,Martín De Zamora,SE,0,1,1,0
1536392815,7000,93.0,78.0,75.0,3.0,2.0,2.0,1,1,22.0,4.0,Departamento,25.0,-33.4056786,-70.5772644,Las Condes,Avenida Presidente Riesco,SE,0,1,1,0
2860807040,7557,81.0,112.0,93.0,18.36,3.0,2.0,2,1,7.0,3.0,Departamento,27.0,-33.4256257,-70.5628168,Las Condes,Hernando De Magallanes,SE,0,1,1,0
2856035706,5200,140.0,44.0,37.0,7.0,1.0,1.0,1,1,8.0,8.0,Departamento,2.0,-33.3740036,-70.5171272,Las Condes,Camino San Francisco De Asís,N,1,0,0,0
2862563010,9600,124.0,90.0,77.0,15.0,2.0,2.0,1,1,4.0,1.0,Departamento,10.0,-33.3910175,-70.5075451,Las Condes,República De Honduras,SE,0,1,1,0
1591029583,16590,82.0,320.0,200.0,0.0,3.0,2.0,2,2,4.0,1.0,Departamento,15.0,-33.4116829,-70.5042256,Las Condes,Carlos Peña Otaegui,NO,1,0,0,1
2777820068,7500,93.0,90.0,80.0,10.0,2.0,2.0,1,1,10.0,7.0,Departamento,18.0,-33.38252,-70.52507,Las Condes,Valle Alegre,NO,1,0,0,1
1550574577,7500,93.0,90.0,80.0,10.0,2.0,2.0,1,1,7.0,3.0,Departamento,20.0,-33.3769481,-70.5249189,Las Condes,San Damián,NO,1,0,0,1
2794031210,10990,97.0,138.0,113.0,25.0,2.0,2.0,1,1,20.0,2.0,Departamento,10.0,-33.4029732,-70.5694857,Las Condes,Avenida Manquehue,S,0,1,0,0
1589378227,7400,74.0,103.0,100.0,3.0,3.0,3.0,1,1,4.0,4.0,Dúplex,44.0,-33.4292051,-70.576222,Las Condes,Latadía,O,0,0,0,1
2864285218,13500,84.0,172.0,160.0,12.0,3.0,4.0,3,1,15.0,8.0,Departamento,24.0,-33.4092964,-70.5743478,Las Condes,Warren Smith,N,1,0,0,0
1568474179,9600,80.0,125.0,120.0,5.0,3.0,3.0,1,1,9.0,6.0,Departamento,33.0,-33.4238203,-70.5825986,Las Condes,Cristóbal Colón,SE,0,1,1,0
2760195604,6900,141.0,60.42,48.78,11.64,1.0,1.0,1,1,9.0,8.0,Estándar,2.0,-33.4243228,-70.5913677,Las Condes,Martín De Zamora,S,0,1,0,0
2863849080,7980,107.0,236.0,74.0,0.0,3.0,2.0,2,1,1.0,4.0,Departamento,0.0,-33.4292998,-70.5552434,Las Condes,Carlos Alvarado,O,0,0,0,1
2841559796,6900,82.0,87.0,84.0,3.0,2.0,2.0,1,1,9.0,4.0,Departamento,30.0,-33.4259934,-70.588802,Las Condes,Avenida Cristóbal Colón,SE,0,1,1,0
2861150920,14990,111.0,166.0,135.0,31.0,3.0,3.0,1,1,4.0,3.0,Departamento,7.0,-33.3900825,-70.5003409,Las Condes,Camino San Francisco De Asís,NO,1,0,0,1
2858055062,9500,84.0,122.0,112.0,10.0,3.0,3.0,2,1,18.0,5.0,Departamento,20.0,-33.4268224,-70.588719,Las Condes,Monte Alegre,NSEO,1,1,1,1
1590266777,13950,115.0,200.0,121.0,83.0,5.0,3.0,3,2,12.0,8.0,Departamento,32.0,-33.4266768,-70.576854,Las Condes,Felipe Ii,NSEO,1,1,1,1
2858817638,10000,105.0,105.0,95.0,10.0,3.0,2.0,1,1,4.0,3.0,Departamento,12.0,-33.4123536,-70.5062084,Las Condes,Avenida San Carlos De Apoquindo,O,0,0,0,1
1590124311,9500,92.0,220.0,103.0,0.0,3.0,2.0,2,1,19.0,16.0,Departamento,14.0,-33.4274243,-70.5876155,Las Condes,Vaticano,O,0,0,0,1
2850272750,6290,99.0,69.0,63.0,6.0,2.0,2.0,1,1,15.0,17.0,Departamento,23.0,-33.4105814,-70.5787893,Las Condes,Los Militares,SE,0,1,1,0
2844875038,6609,77.0,100.0,85.0,15.0,3.0,3.0,1,1,2.0,2.0,Departamento,0.0,-33.4279734,-70.5777482,Las Condes,Felipe Ii,SE,0,1,1,0
2862665232,9900,76.0,140.0,130.0,10.0,3.0,2.0,3,0,12.0,6.0,Departamento,9.0,-33.4279087,-70.5766949,Las Condes,Payador Taguada,N,1,0,0,0
2863564556,11800,84.0,140.0,140.0,15.0,4.0,4.0,2,1,15.0,3.0,Departamento,17.0,-33.405894,-70.57202,Las Condes,Rosario Norte,SE,0,1,1,0
2864710850,12990,83.0,155.0,155.0,30.0,4.0,3.0,2,1,10.0,5.0,Departamento,15.0,-33.4062766,-70.5717226,Las Condes,Los Militares,NO,1,0,0,1
1589543427,6379,75.0,100.0,84.0,20.0,4.0,3.0,0,1,15.0,10.0,Departamento,35.0,-33.4245663,-70.5792479,Las Condes,Rodrigo De Triana,SE,0,1,1,0
1591838627,3843,69.0,70.0,55.0,15.0,2.0,2.0,0,1,1.0,5.0,Departamento,45.0,-33.425587,-70.5531654,Las Condes,Avenida Alexander Fleming,N,1,0,0,0
2860933820,4099,58.0,70.0,70.0,0.0,3.0,2.0,1,1,22.0,2.0,Departamento,41.0,-33.4264511,-70.5526931,Las Condes,Lolco,NO,1,0,0,1
2862238450,4700,94.0,50.0,50.0,5.0,1.0,1.0,1,1,16.0,11.0,Departamento,12.0,-33.4240972,-70.5887051,Las Condes,Martín De Zamora,O,0,0,0,1
1570932253,24900,77.0,410.0,321.0,89.0,5.0,6.0,4,1,7.0,5.0,Dúplex,10.0,-33.4116829,-70.5042256,Las Condes,Carlos Peña Otaegui,N,1,0,0,0
1588420203,8700,116.0,80.0,75.0,10.0,2.0,2.0,2,1,4.0,4.0,Departamento,12.0,-33.4121825,-70.506136,Las Condes,Avenida San Carlos De Apoquindo,O,0,0,0,1
2863169160,4980,142.0,42.0,35.0,7.0,1.0,1.0,1,0,8.0,3.0,Departamento,3.0,-33.3739624,-70.5170159,Las Condes,Camino San Francisco De Asís,N,1,0,0,0
2863720838,13950,116.0,205.0,120.0,85.0,5.0,3.0,3,2,12.0,8.0,Departamento,32.0,-33.4266768,-70.576854,Las Condes,Felipe Ii,NSEO,1,1,1,1
